file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,conjunctions,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,money,persons,norp,facilities,organizations,gpe,products,events,works,languages,dates,times,quantities,ordinals,cardinals,percentages,stopwords,locations,laws,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization
NCT00585195.txt,44.047160000000005,54.88157333333334,14.161111656000003,-35.20168666666663,49.53866666666667,137.92666666666668,27.79919353527449,35.166666666666664,17.696094666666667,664,30,3980,19,7,7,22,52,209,73,4,98,15,0,27,39,0,45,3,5,54,108,7,5,23,0,1,1,1,28,4,10,0,5,0,14,4,4,2,35,6,207,1,2,5.144,1.6112,104.16666666666667,6.0,0.3744,3215,1007,625,234,6,1,211,123,352,11,4,27,23
NCT00585195.txt_accumulated_section4.txt,37.39941860465116,46.28380813953488,14.707283020348836,-19.897441860465108,42.074418604651164,120.30232558139535,25.24859546128699,29.5,16.302012790697674,371,16,2221,12,4,4,13,29,119,41,1,53,11,0,16,26,0,19,1,2,32,56,4,3,10,0,0,1,1,20,4,4,0,5,0,5,2,2,2,13,4,120,0,0,5.247093023255814,1.6482558139534884,86.0,4.0,0.5523255813953488,1805,567,344,190,4,1,118,66,183,8,3,16,14
NCT00585195.txt_accumulated_section5.txt,42.94382539682539,53.20220238095238,14.156571482142859,-33.28771428571426,48.33587301587302,133.53809523809525,27.61706725018234,33.0,17.502390317460318,538,25,3219,16,5,5,19,43,167,55,4,77,13,0,21,28,0,41,1,5,44,88,6,5,23,0,0,1,1,23,4,10,0,5,0,14,4,4,2,29,4,163,0,2,5.14484126984127,1.628968253968254,100.8,5.0,0.4226190476190476,2593,821,504,213,5,1,165,101,283,9,4,21,17
NCT00761267.txt,49.155686274509804,59.58440567187326,15.507861968095717,-58.86476016395254,55.465115763819654,150.12839259997784,33.16620625799671,43.111111111111114,19.585859299878145,1012,30,6625,43,8,4,37,76,302,108,10,135,15,0,55,24,0,73,14,8,103,187,6,41,34,0,7,0,0,17,15,2,6,0,0,63,19,9,2,42,0,269,1,0,5.369890329012961,1.8035892323030907,111.44444444444444,9.0,0.30608175473579263,5386,1809,1003,307,9,1,388,273,662,10,3,55,67
NCT00761267.txt_accumulated_section3.txt,42.014944237918215,49.28206939281289,16.175619561338298,-46.45770755885994,45.97819083023544,130.55885997521685,29.076809620810597,36.666666666666664,16.12571387856258,277,12,1783,15,2,4,12,26,88,35,0,46,11,0,17,17,0,3,7,5,17,36,1,1,0,0,0,0,0,8,4,0,0,0,0,12,0,0,0,3,0,108,0,0,5.4944237918215615,1.9182156133828996,89.66666666666667,3.0,0.5650557620817844,1478,516,269,152,3,1,110,68,137,9,0,16,19
NCT00761267.txt_accumulated_section5.txt,41.73826636568849,49.15243792325055,16.675618735891646,-46.37390970654623,46.63638826185102,129.00632054176072,30.27636339397171,35.8,17.26268528216704,461,18,2989,24,5,4,18,44,143,51,4,69,12,0,22,19,0,20,10,6,35,66,4,12,5,0,1,0,0,9,6,1,0,0,0,31,7,3,2,10,0,148,0,0,5.5801354401805865,1.930022573363431,88.6,5.0,0.5169300225733634,2472,855,443,229,5,1,179,124,259,9,1,20,31
NCT00761267.txt_accumulated_section6.txt,43.895878734622144,52.18552431165788,16.593228926186292,-50.74069273579373,49.32173403632103,134.90363210310485,31.460498941515414,38.0,18.05288711189221,597,21,3832,30,6,4,23,55,180,61,7,89,13,0,26,20,0,34,10,7,52,84,5,22,10,0,2,0,0,9,9,1,3,0,0,46,12,6,2,19,0,177,0,0,5.562390158172232,1.906854130052724,94.83333333333333,6.0,0.40597539543058,3165,1085,569,231,6,1,228,162,350,9,2,24,42
NCT00761267.txt_accumulated_section7.txt,45.41750102923014,54.29753808151502,16.553424809798273,-53.97425072046106,51.184520378756694,139.05640181144503,32.277002188455995,39.57142857142857,18.58768888431453,731,24,4670,37,7,4,28,66,215,71,10,108,14,0,30,21,0,48,10,8,69,102,6,33,15,0,3,0,0,9,13,2,6,0,0,59,19,9,2,27,0,204,0,0,5.553314121037464,1.893371757925072,99.14285714285714,7.0,0.33285302593659943,3854,1314,694,231,7,1,277,200,441,9,3,28,53
NCT00761267.txt_accumulated_section8.txt,47.64136487303507,56.92851571946796,17.20843903869408,-62.38034688633613,53.10332527206772,145.2129685610641,33.186917696247164,43.25,18.787781499395404,863,28,5651,42,8,4,34,73,258,94,10,129,15,0,38,24,0,50,14,8,81,127,6,40,15,0,5,0,0,13,14,2,6,0,0,61,19,9,2,27,0,245,0,0,5.662636033857315,1.9419588875453446,103.375,8.0,0.3059250302297461,4683,1606,827,253,8,1,346,243,525,10,3,38,66
NCT00935012.txt,42.182105263157894,50.62858695652174,16.40850990217392,-43.50026315789472,47.62379862700229,128.44164759725402,30.328412051620525,33.526315789473685,16.465060411899312,1884,79,11828,86,82,42,66,214,576,281,37,222,80,0,77,93,1,63,43,30,117,396,14,6,11,0,15,0,0,15,0,1,0,2,0,39,13,10,0,27,2,618,0,5,5.532608695652174,1.855263157894737,92.0,19.0,0.2917620137299771,9671,3243,1748,510,19,1,637,473,915,63,15,75,70
